property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,sector 88,0.92,2,2,2,relatively new,1300.0,0,0,unfurnished,luxury,low-rise
flat,sector 95,0.4,2,2,3,under construction,661.0,0,0,unfurnished,budget,low-rise
flat,sector 104,0.9,2,2,0,relatively new,1259.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 106,1.17,3,4,3+,relatively new,1186.0,1,0,unfurnished,budget,high-rise
flat,sector 47,0.38,2,2,2,new,750.0,0,0,unfurnished,semi-luxury,medium-rise
house,sector 9,1.65,2,3,0,old,900.0,0,0,unfurnished,budget,low-rise
flat,sector 62,9.2,4,6,3,relatively new,3852.0,1,0,semifurnished,luxury,medium-rise
flat,sector 81,0.4,2,2,1,relatively new,583.0,0,0,semifurnished,budget,high-rise
flat,sector 89,0.25,1,1,1,new,430.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 71,1.0,1,1,1,relatively old,869.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 111,4.67,4,4,3+,under construction,3056.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 70,2.0,4,5,3+,relatively new,2182.0,1,0,semifurnished,budget,low-rise
house,sector 43,9.5,5,5,3+,relatively new,2250.01,1,0,semifurnished,semi-luxury,low-rise
flat,sector 107,0.82,2,2,3+,relatively new,1242.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 86,0.45,2,2,1,under construction,637.0,0,0,unfurnished,budget,high-rise
flat,sector 2,1.36,3,3,3+,relatively old,1618.0,0,0,unfurnished,semi-luxury,medium-rise
house,sector 17,8.5,4,4,2,old,4517.91,1,0,semifurnished,budget,low-rise
house,sector 66,12.0,5,5,3+,new,3240.0,1,1,semifurnished,semi-luxury,low-rise
house,sector 25,4.35,5,4,3,old,1350.01,1,0,unfurnished,budget,low-rise
flat,sector 102,1.35,3,3,3,relatively new,1310.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 89,0.85,2,2,2,under construction,1226.0,0,0,unfurnished,semi-luxury,low-rise
