property_type,society,sector,price_in_cr,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,pooja room,store room,others,furnishing_type,luxury_score,area_bedroom_ratio
house,ansal heights,sector 92,2.75,9792.99,2808.13,Plot area 312(260.87 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.),4,4,3+,3.0,,relatively new,,5000.0,,0,1,1,0,0,1,,702.0325
flat,housing board colony,sector 51,0.3,4629.63,648.0,Carpet area: 72 (6.69 sq.m.),1,1,0,0.0,,relatively old,,,72.0,0,1,0,0,0,1,7.0,648.0
flat,greenopolis,sector 89,0.8,4820.0,1659.75,Super Built up area 1660(154.22 sq.m.),2,3,3,8.0,,under construction,1660.0,,,0,1,0,0,1,1,46.0,829.875
flat,tulip violet,sector 69,1.68,8358.0,2010.05,Super Built up area 2010(186.74 sq.m.),4,4,2,7.0,north,relatively new,2010.0,,,0,0,0,0,0,1,106.0,502.5125
flat,spaze privvy the address,sector 93,1.25,5700.99,2192.6,Built Up area: 2105 (195.56 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),4,4,3,16.0,,relatively new,,2105.0,1700.0,0,0,0,0,0,1,,548.15
house,independent,sector 14,6.46,18889.0,3419.98,Plot area 380(317.73 sq.m.)Built Up area: 380 sq.yards (317.73 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),5,5,2,3.0,East,relatively old,,380.0,300.0,1,1,1,0,0,0,14.0,683.996
flat,ss the leaf,sector 85,2.05,7290.0,2812.07,Super Built up area 2812(261.24 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),4,4,3+,4.0,north-east,relatively new,2812.0,2500.0,2250.0,1,0,0,0,0,0,24.0,703.0175
flat,dlf new town heights,sector 86,1.55,6578.0,2356.34,Super Built up area 2356(218.88 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),4,4,3+,12.0,north-east,relatively old,2356.0,,1750.0,1,0,1,0,0,0,98.0,589.085
flat,adani m2k oyster grande,sector 102,2.5,7816.99,3198.16,Super Built up area 3198(297.1 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2350 sq.ft. (218.32 sq.m.),4,5,3+,10.0,north-east,relatively new,3198.0,2600.0,2350.0,1,0,1,0,0,0,154.0,799.54
flat,ats tourmaline,sector 109,2.3,8897.0,2585.14,Super Built up area 2585(240.15 sq.m.),3,4,3+,10.0,east,new,2585.0,,,1,0,0,0,1,1,50.0,861.7133333333333
house,independent,sector 5,3.75,11028.99,3400.13,Built Up area: 3400 (315.87 sq.m.)Carpet area: 1836 sq.ft. (170.57 sq.m.),5,5,3+,3.0,,undefined,,3400.0,1836.0,0,0,0,0,0,1,,680.0260000000001
